"id","hadith_no","source","tradition","bab","text_ar"
"zayd_0103","103","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة التطوع:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال: صلاة الاوابين ثماني ركعات عند الزوال قبل الظهر. حدثنى زيد بن علي عن أبيه عن جده عن علي (ع م) قال: لاتدعن صلاة ركعتين بعد المغرب لا في سفر ولا في حضر فانها قول الله عزوجل وأدبار السجود ولا تدعن صلاة ركعتين بعد طلوع الفجر قبل ان تصلي الفريضة في سفر ولا حضر فهي قوله عز اسمه وجل ذكره وادبار النجوم، سألت زيدا بن علي (ع م) فقلت صليت ركعة قبل طلوع الفجر وركعة بعد طلوع الفجر، فقال (ع م) أعدهما فانهما بعد طلوع الفجر."
"zayd_0104","104","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة التطوع:","= حدثني زيد بن علي عن آبائه عن علي (ع م) انه كان لا يصليهما حتى يطلع الفجر وكان يقرأ فيهما بقل يا ايها الكافرون وقل هو الله احد ."
"zayd_0105","105","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الضحى (2):","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال: ما صلى رسول الله صلى الله عليه وآله الضحى الا يوم فتح مكة فانه "" ص "" صلاها يومئذ ركعتين وقال "" ص "" استأذنت ربي في فتح مكة فأذن لي فيها ساعة من نهار ثم أقفلها ولم يحلها لاحد قبلي ولا يحلها لاحد بعدي فهدي حرام ما دامت السموات والارض."
"zayd_0106","106","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الليل:","= حدثني زيد بن علي عن أبيه عن جده عن علي قال: لما كان في ولاية عمر سئل عن تهجد الرجل في بيته وتلاوة القرآن ما هو له، فقال يا أبا الحسن ألست شاهدي حين سألت رسول الله "" ص "" فقلت بلي قال فأد ما أجابني رسول الله "" ص "" فانك أحفظ لذلك مني فقلت: قال رسول الله "" ص "" التهجد هو نور تنور به بيتك."
"zayd_0107","107","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الليل:","= حدثني زيد بن علي عن أبيه عن جده عن علي "" ع م "" قال: ركعتان في ثلث الليل الاخير أفضل تمن الدنيا وما فيها."
"zayd_0108","108","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الليل:","= حدثني زيد بن علي عن أبيه عن جده عن علي "" ع م "" قال من صلى من الليل ثماني ركعات فتح الله له ثمانية أبواب من الجنان يدخل من ايها شاء."
"zayd_0109","109","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الخمسين:","قال: حدثني مولانا زيد بن علي "" ع م "" كان أبي علي بن الحسين "" ع م "" لا يفرط في صلاة خمسين ركعة في يوم وليلة ولقد كان ربما صلى في اليوم والليلة الف ركعة، قلت وكيف صلاة الخمسين ركعة قال "" ع م "" سبعة عشر ركعة الفرائض وثمان قبل الظهر وأربع بعدها وأربع قبل العصر وأربع بعد المغرب وثمان صلاة السحر وثلاث الوتر وركعتا الفجر، قال "" ع م "" وكان علي بن الحسين "" ع م "" يعلمها اولاده."
"zayd_0110","110","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الوتر (1):","= حدثني زيد بن علي عن أبيه عن جده عن علي "" ع م "" قال: الوتر سنة وليس هو حتم كالفريضة."
"zayd_0111","111","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الوتر (1):","= حدثني زيد بن علي عن آبائه عليهم السلام عن علي عليه السلام انه قال: كان رسول الله صلى الله عليه وآله يوتر بثلاث ركعات لا يسلم الا في آخرهن يقرأ في الاولى سبح باسم ربك الاعلى وفي الثانية قل يا ايها الكافرون وفي الثالثة قل هو الله احد والمعوذتين وقال: انما نوتر بسورة الاخلاص إذا خفنا الصبح فنبادره."
"zayd_0112","112","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الوتر (1):","= حدثني زيد بن علي عن آبائه عن علي "" ع م "" قال: من كل الليل قد اوتر رسول الله "" ص "" ثم انتهى وتره إلى السحر."
"zayd_0113","113","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الوتر (1):","= حدثني زيد بن علي عن أبيه عن جده عن علي "" ع م "" قال: اتى رجل فقال ان أبا موسى الاشعري يزعم انه لا وتر بعد الفجر فقال (ع م) لقد أغرق في النزع وأفرط في الفتوى الوتر ما بين الآذانين، قال فسألت زيدا بن علي (ع م) عما بين الآذانين فقال بين صلاة العشاء إلى صلاة الفجر إلى الاقامة، قال (ع م) والوتر ليس بحتم ولا ينبغي للعبد أن يتعمد تركه ومن رأى انه يفرغ من وتره ومن ركعتي الفجر ومن الفجر قبل طلوع الشمس فليفعل وليبدأ بالوتر، سألت زيدا بن علي (ع م) عن الرجل ينام عن وتره أو ينساه، قال زيد (ع م) يوتر من النهار، وقال زيد بن علي (ع م) ربما أوترت ضحى."
"zayd_0114","114","Musnad al-Imam Zayd ibn Ali","Zaydi","باب دعاء الوتر:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) انه كان يقنت بالمدينة بعد الركوع ثم قنت بالكوفة وهو يحارب معاوية قبل الركوع وكان يدعو في قنوته على معاوية وأشياعه."
"zayd_0115","115","Musnad al-Imam Zayd ibn Ali","Zaydi","باب دعاء الوتر:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) انه كان يقنت في الوتر قبل الركوع فيقول اللهم اليك رفعت الابصار وبسطت الايدي وأفضت القلوب دعيت بالالسن وتحوكم اليك في الاعمال اللهم افتح بيننا وبين قومنا بالحق وانت خير الفاتحين نشكو اليك غيبة نبينا صلى الله عليه وآله وكثرة عدونا وقلة عددنا وتظاهر الفتن وشدة الزمن اللهم فأغثنا بفتح تعجله ونصر تعز به وليك ولسان الحق اله الحق آمين رب العالمين."
"zayd_0116","116","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الليل كم هي:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال: صلاة الليل مثنى مثنى وصلاة النهار ان شئت اربعا وان شئت مثنى."
"zayd_0117","117","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الرجل ينام عن الصلاة أو ينساها:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال: كنا مع رسول الله صلى الله عليه وآله في سفر فلما نزلنا قال رسول الله صلى الله عليه وآله من يكلؤنا الليلة فقال بلال أنا يارسول الله، قال فبات بلال مرة قائما ومرة جالسا حتى إذا كان قبل الفجر غلبته عيناه فنام فلم يستيقظ رسول الله صلى الله عليه وآله الا بحر الشمس فأمر رسول الله صلى الله عليه وآله الناس فتوضأ واو أمر بلالا فأذن ثم صلى ركعتين ثم أمر بلالا ثم صلى بهم الفجر، قال سألت زيدا بن علي (ع م) عن الرجل ينسى الظهر ثم يذكرها في وقت العصر، قال ان كان في اول الوقت بدأ بالظهر ثم بالعصر وان كان في آخر الوقت بدأ بالعصر، قال (ع م) ولا تجزى صلاة وعليه صلاة اخرى الا في آخر وقتها. قال زيد بن علي (ع م) فان هو لم يعلم حتى قضى العصر ثم علم أعاد الظهر ولم يعد العصر."
"zayd_0118","118","Musnad al-Imam Zayd ibn Ali","Zaydi","باب ما يقطع الصلاة والمواطن التي يصلى فيها وما يجزي من","الثياب للصلاة:"
"zayd_0119","119","Musnad al-Imam Zayd ibn Ali","Zaydi","باب ما يقطع الصلاة والمواطن التي يصلى فيها وما يجزي من","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال: كانت لرسول الله صلى الله عليه وآله عنزة يتوكأ عليها ويغرزها بين يديه إذا صلى فصلى ذات يوم فمر بين يديه كلب ثم حمار ثم مرت امرأة فلما انصرف صلى الله عليه وآله قال قد رأيت الذي رأيتم ليس يقطع صلاة المسلم شئ ولكن ادرأوا ما استطعتم."
"zayd_0120","120","Musnad al-Imam Zayd ibn Ali","Zaydi","باب ما يقطع الصلاة والمواطن التي يصلى فيها وما يجزي من","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) ان راعيا سأل النبي صلى الله عليه وآله فقال اصلي في أعطان الابل قال لا فأصلي في مرابض الغنم، قال نعم. قال زيد بن علي لا بأس بالصلاة على البساط والمسوح،"
"zayd_0121","121","Musnad al-Imam Zayd ibn Ali","Zaydi","باب ما يقطع الصلاة والمواطن التي يصلى فيها وما يجزي من","وقال زيد بن علي (ع م) أدنى ما يصلي فيه الرجل ثوبه وأدنى ما تصلى فيه المرأة قميص وخمار، وقال زيد بن علي (ع م) والامة تصلي بغير خمار."
"zayd_0122","122","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة المريض والمغمى عليه وصلاة العريان:","حدثني زيد عن أبيه عن جده عن علي (ع م) قال: أتى رسول الله صلى الله عليه وآله فقيل له ان عبد الله بن رواحة رضي الله عنه ثقيل فأتاه وهو مغمى عليه قال فقال عبد الله بن رواحة يارسول الله اغمي علي ثلاثة أيام فكيف أصنع بالصلاة، قال صلى الله عليه وآله صل صلاة يومك الذي أفقت فيه فانه يجزيك. قال زيد عليه السلام في المغمى عليه ان أغمي عليه أقل من ثلاثة أيام أعاد جميع ذلك وان أغمي عليه ثلاثة أيام أو أكثر أعاد الصلاة التي تضيق في وقتها فان أفاق قبل المغرب أعاد الظهر والعصر وان أفاق قبل الفجر أعاد المغرب والعشاء وهذا تفسير قول النبي صلى الله عليه وآله لعبدالله بن رواحة رضي الله عنه أعد صلاة يومك."
"zayd_0123","123","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة المريض والمغمى عليه وصلاة العريان:","= حدثني زيد بن علي عن أبيه عن جده عن علي عليه السلام. قال: دخل رسول الله صلى الله عليه وآله على رجل من الانصار وقد شبكته الريح، فقال يارسول الله كيف اصلي، فقال ان استطعتم أن تجلسوه فأجلسوه والا فوجهوه إلى القبلة ومروه أن يومئ إيماء ويجعل السجود أخفض من الركوع وان كان لا يستطيع القرآن فاقرؤا عنده واسمعوه، وقال زيد بن علي عليه السلام يصلي المريض قائما فان لم يستطع فجالسا ويركع ويسجد على الارض فان لم يستطع أومأ ايماء، قال لا يسجد على عود ولامروحة ولا وسادة، وقال زيد بن علي عليه السلام لا يصلي القائم خلف المريض الذي يصلي جالسا. حدثنى زيد بن علي عن أبيه عن جده عن علي عليه السلام في العريان قال: ان كان حيث يراه أحد صلى جالسا يومئ إيماء وإن كان حيث لا يراه أحد من الناس صلى قائما. حدثني زيد عن أبيه عن جده عن علي عليهم السلام، قال: دخل رسول الله صلى الله عليه وآله على مريض يعوده فاذاهو جالس معه عود يسجد عليه، قال فنزعه رسول الله صلى الله عليه وآله من يده وقال لا تعد ولكن اوم ايماء ويكون سجودك أخفض من ركوعك."
"zayd_0124","124","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الجمعة (1)","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) انه كان يصلي الجمعة والناس فريقان فريق يقول قد زالت الشمس وفريق يقول لم تزل وكان هو (ع م) اعلم."
"zayd_0125","125","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الجمعة (1)","= حدثني زيد بن علي عن أبيه عن جده عن علي عن النبي صلى الله عليه وآله انه كان يخطب قبل الجمعة خطبتين يجلس بينهما جلسة خفيفة."
"zayd_0126","126","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الجمعة (1)","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال: كان رسول الله صلى الله عليه وآله يقرأ في الفجر يوم الجمعة تنزيل السجدة ثم يسجد ويكبر إذا سجد وإذا رفع رأسه وفي الثانية قرأ بهل اتى على الانسان حين من الدهر."
"zayd_0127","127","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الجمعة (1)","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) انه كان يصلي بعد الجمعة ركعتين ثم اربعا ثم يرجع فيقيل. قال زيد بن علي (ع م) الاذان يوم الجمعة إذا صعد الإمام على المنبر وإذا نزل اقام المؤذن، قال زيد بن علي (ع م) ويجهر الإمام يوم الجمعة بالقراءة ولا يقنت، وقال زيد بن علي (ع م) لا تجب الجمعة الا على اهل الامصار ومن كان خارج المصر لم يجب عليه الحضور فان كان يسمع النداء وجب عليه الحضور والا لم يجب عليه. قال زيد بن علي (ع م) ولا تجب الجمعة على عبد ولا على مريض ولا على امرأة ولا على مسافر."
"zayd_0128","128","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة العيدين:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) انه كان يصلي بالناس في الفطر والاضحى ركعتين يبدأ ثم يكبر ثم يقرأ ثم يكبر خمسا ثم يكبر اخرى فيركع بها ثم يقوم في الثانية فيقرأ ثم يكبر اربعا ثم يكبر اخرى فيركع بها فذلك اثنتي عشرة تكبيرة وكان يجهر بالقراءة وكان لا يصلي قبلها ولا بعدها شيئا."
"zayd_0129","129","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة العيدين:","= حدثني زيد بن علي عن أبيه عن جده عن علي عليهم السلام انه كان يخطب في العيدين خطبتين بعد الصلاة."
"zayd_0130","130","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة العيدين:","= حدثني زيد بن علي عن أبيه عن جده عن علي عليهم السلام انه اجتمع عيدان في يوم فصلى بالناس في الجبانة ثم قال بعد خطبته انا مجمعون بعد الزوال فمن أحب أن يحضر فذلك فضل الله يؤتيه من يشاء ومن ترك ذلك فلا حرج عليه، قال زيد بن علي (ع م) إذا فاتك الإمام في صلاة العيدين والجمعة فصل اربعا. قال زيد بن علي (ع م) فيمن أدرك الإمام راكعا يوم الجمعة ويوم العيد في صلاة العيد قبل أن يركع في الثانية انه يصلي ركعتي وان أدركه بعدما رفع رأسه من الركوع انه يصلي اربعا."
"zayd_0131","131","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة العيدين:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) ان اناسا من اهل الكوفة شكوا إليه الضعف فأمر رجلا ان يصلي بهم في المسجد وصلى هو بالناس في الجبانة وقال لهم لولا السنة لصليت في المسجد."
"zayd_0132","132","Musnad al-Imam Zayd ibn Ali","Zaydi","باب التكبير في ايام التشريق:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) انه قال: لا جمعة ولا تشريق الا في مصر جامع."
"zayd_0133","133","Musnad al-Imam Zayd ibn Ali","Zaydi","باب التكبير في ايام التشريق:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) ان النبي صلى الله عليه وآله قال له يا علي كبر في دبر صلاة الفجر يوم عرفة إلى آخر ايام التشريق إلى صلاة العصر ."
"zayd_0134","134","Musnad al-Imam Zayd ibn Ali","Zaydi","باب التكبير في ايام التشريق:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال التكبير الله اكبر الله اكبر لا اله الا الله والله اكبر الله اكبر ولله الحمد. وقال زيد ابن علي (ع م) والتكبير يجب على الرجال والنساء من اهل الحضر واهل السفر ومن صلى في جماعة ومن صلى وحده في دبر كل صلاة فريضة وفي دبر صلاة الجمعة ولا يكبر في دبر العيدين ولا في النوافل."
"zayd_0135","135","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الصلاة في السفر:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) انه قال: إذا سافرت فصل الصلاة كلها ركعتين ركعتين الا المغرب فانها ثلاث."
"zayd_0136","136","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الصلاة في السفر:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) انه قال: إذا قدمت بلدا فأزمعت على اقامة عشر فأتم، قال زيد بن علي (ع م) ولا تقصر الصلاة الا في مسيرة ثلاث فإذا خرجت من بيتك تريد سفر ثلاثة ايام أو اكثر من ذلك فاقصر حين تجاوز أبيات اهلك وبلدك. حدثنى زيد بن علي عن أبيه عن جده عن علي (ع م) عن رسول الله صلى الله عليه وآله انه صلى بمكة ركعتين ركعتين حتى رجع."
"zayd_0137","137","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الصلاة في السفر:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) ان النبي صلى الله عليه وآله كان يتطوع على بعيرة في سفره حيث توجه به بعيره يومئ ايماء ويجعل سجوده أخفض من ركوعه وكان لا يصلي الفريضة ولا الوتر الا إذا نزل قال زيد بن علي عليه السلام إذا دخل المقيم في صلاة المسافر فسلم المسافر قام المقيم فأتم وإذا دخل المسافر في صلاة المقيم صلى بصلاته."
"zayd_0138","138","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الصلاة في السفينة:","حدثنى زيد بن علي عن أبيه عن جده عن علي (ع م) قال: إذا كنت في سفينة وكانت تسير فصل وانت جالس وان كانت واقفة فصل وانت قائم."
"zayd_0139","139","Musnad al-Imam Zayd ibn Ali","Zaydi","باب السجود في القرآن:","حدثنى زيد بن علي عن أبيه عن جده عن علي (ع م) قال: عزائم سجود القرآن أربع ألم تنزيل السجدة وحم السجدة والنجم واقرأ باسم ربك الذي خلق. قال (ع م) وسائر ما في القرآن فان شئت فاسجد"
"zayd_0140","140","Musnad al-Imam Zayd ibn Ali","Zaydi","باب السجود في القرآن:","وان شئت فاترك وسألت زيدا بن علي عليه السلام عن الرجل يقرأ السجدة في المجلس مرارا، قال (ع م) سجدة واحدة تجزئه، وقال زيد ابن علي (ع م) إذا كانت السجدة في آخر السورة فاركع بها وان كانت في وسط السورة فلابد من ان تسجد. سألت زيدا بن علي (ع م) عن الرجل يسمع السجدة من الذمي أو المرأة أو الصبي، قال عليه السلام يسجد."
"zayd_0141","141","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الكسوف والاستسقاء:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال: سألت رسول الله صلى الله عليه وآله عن أفضل ما يكون من العمل في كسوف الشمس والقمر فقال رسول الله صلى الله عليه وآله الصلاة وقراءة القرآن."
"zayd_0142","142","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الكسوف والاستسقاء:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) انه كان إذا صلى بالناس صلاة الكسوف بدأ فكبر ثم قرأ الحمد وسورة من القرآن يجهر بالقراءة ليلا كان أو نهارا ثم يركع نحوا مما قرأ ثم يرفع رأسه من الركوع فيكبر حتى يفعل ذلك خمس مرات فإذا رفع رأسه من الركوع الخامس، قال سمع الله لمن حمده فإذا قام لم يقرأ ثم يكبر فيسجد سجدتين ثم يرفع رأسه فيفعل في الثانية كما فعل في الاولى يكبر كلما رفع رأسه من الركوع في الاربع ويقول سمع الله لمن حمده في الخامسة ولا يقرأ بعد الركوع الخامس."
"zayd_0143","143","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الكسوف والاستسقاء:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) انه كان إذا صلى بالناس في الاستسقاء صلى مثل صلاة العيدين وكان يأمر المؤذنين حملة القرآن والصبيان ان يخرجوا أمامهم ثم يصلي بالناس مثل صلاة العيد ثم يخطب ويقلب رداءه ويستفر الله تعالى مائة مرة يرفع بذلك صوته."
"zayd_0144","144","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الخوف:","= حدثني زيد بن علي عن أبيه عن جده عن علي عليهم السلام انه قال في صلاة الخوف يقسم الإمام أصحابه طائفتين فتقوم طائفة موازية للعدو ويأخذون أسلحتهم ويصلي بالطائفة التى معه ركعة وسجدتين فإذا رفع الإمام رأسه من السجدة الثانية فليكونوا من ورائهم ولتأت طائفة أخرى لم يصلوا فليصلوا معه ونكص هؤلاء فقاموا مقام أصحابهم فيصلي بالطائفة الثانية ركعة وسجدتين ثم يسلم فيقوم هؤلاء فيقضون ركعة وسجدتين ثم يسلمون ثم يقفون في موقف أصحابهم ويجئ من كان بازاء العدو فيصلون ركعة وسجدتين ويسلمون."
"zayd_0145","145","Musnad al-Imam Zayd ibn Ali","Zaydi","باب صلاة الخوف:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) في صلاة الخوف في المغرب قال: يصلى بالطائفة الاولى ركعتين وبالطائفة الثانية ركعة وتقضي الطائفة الاولى ركعة والطائفة الثانية ركعتين. حدثني زيد بن عن أبيه عن جده عن علي (ع م) في صلاة المقيم صلاة الخوف قال: يصلى بالطائفة الاولى ركعتين وبالطائفة الثانية ركعتين وتقضي كل طائفة ركعتين."
"zayd_0146","146","Musnad al-Imam Zayd ibn Ali","Zaydi","باب فضل المسجد:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال: أمر رسول الله صلى الله عليه وآله ان تبنى المساجد وان تطيب وتطهر وان تجعل على أبوابها المطاهر وقال رسول الله صلى الله عليه وآله من بنى مسجدا لله بنى الله له بيتا في الجنة."
"zayd_0147","147","Musnad al-Imam Zayd ibn Ali","Zaydi","باب فضل المسجد:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) انه كان إذا دخل المسجد قال: بسم الله وبالله السلام عليك ايها النبي ورحمة الله وبركاته السلام علينا وعلى عباد الله الصالحين السلام عليكم ورحمة الله وبركاته."
"zayd_0148","148","Musnad al-Imam Zayd ibn Ali","Zaydi","باب فضل المسجد:","= حدثني زيد بن علي عن أبيه عن جده عن علي بن أبي طالب (ع م) قال: دخل رجل وقد أكل الثوم المسجد فقال رسول الله صلى الله عليه وآله من أكل من هذه البقلة فلا يقربن مسجدنا."
"zayd_0149","149","Musnad al-Imam Zayd ibn Ali","Zaydi","باب في فضل الصلاة (1) على النبي صلى الله وسلم عليه وعلى آله","الطاهرين: = حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال: قال رسول الله صلى الله عليه وآله من صلى علي صلاة صلى الله عليه بها عشر صلوات ومحى عنه عشر سيئات وأثبت له عشر حسنات واستبق ملكاه الموكلان به أيهما يبلغ روحي منه السلام قال: وقال رسول الله صلى الله عليه وآله أكثروا من الصلاة علي يوم الجمعة فانه يوم تضاعف فيه الاعمال واسألوا الله تعالى لي الدرجة الوسيلة من الجنة، قيل يارسول الله وما الدرجة الوسيلة من الجنة، قال صلى الله عليه وآله هي أعلى درجة في الجنة لا ينالها الا نبي وأرجو ان أكون انا هو صلى الله عليه وآله."
"zayd_0150","150","Musnad al-Imam Zayd ibn Ali","Zaydi","باب التسبيح والدعاء:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال: قال رسول الله صلى الله عليه وآله مامن مؤمن يدعو بدعوة الا استجيب له فان لم يعطها في الدنيا اعطيها في الآخرة."
"zayd_0151","151","Musnad al-Imam Zayd ibn Ali","Zaydi","باب التسبيح والدعاء:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال: اربعة لاترد لهم دعوة الإمام العادل والوالد لولده والمظلوم والرجل يدعو لاخيه بظهر الغيب."
"zayd_0152","152","Musnad al-Imam Zayd ibn Ali","Zaydi","باب التسبيح والدعاء:","= حدثني زيد بن علي عن أبيه عن جده عن علي "" ع م "" انه قال: الدعاء سلاح المؤمن."
"zayd_0153","153","Musnad al-Imam Zayd ibn Ali","Zaydi","باب التسبيح والدعاء:","= حدثني زيد بن علي عن أبيه عن علي بن الحسين "" ع م "" انه كان يستغفر الله تعالى في قتوت الوتر سبعين مرة ثم قرأ والمستغفرين بالاسحار."
"zayd_0154","154","Musnad al-Imam Zayd ibn Ali","Zaydi","باب التسبيح والدعاء:","= حدثني زيد بن علي عن أبيه عن جده عن علي "" ع م "" ان النبي "" ص "" دخل على بعض أزواجه وعندها نوى العجوة تسبح به فقال "" ص "" ما هذا فقالت أسبح عدد هذا كل يوم، فقال "" ص "" لقد قلت في مقامي هذا أكثر من كل شئ سبحت به في أيامك كلها، قالت وما هو يا رسول الله، قال قلت سبحانك اللهم عدد ما أحصى كتابك وسبحانك زنة عرشك ومنتهى رضا نفسك."
"zayd_0155","155","Musnad al-Imam Zayd ibn Ali","Zaydi","باب التسبيح والدعاء:","= حدثني زيد بن علي عن أبيه عن جده عن علي عليهم السلام قال: من سبح الله تعالى في كل يوم مائة مرة وحمده مائة مرة وكبره مائة مرة وهلله مائة مرة وقال لا حول ولا قوة الا بالله العلي العظيم مائة مرة رفع الله عنه من البلاء سبعين نوعا أدناها القتل وكتب له من الحسنات عدد ما سبح سبعين ضعفا ومحى عنه السيئات سبعين ضعفا."
"zayd_0156","156","Musnad al-Imam Zayd ibn Ali","Zaydi","باب القيام في شهر رمضان:","= حدثني زيد بن علي عن أبيه عن جده عن علي عليهم السلام انه أمر الذي يصلي بالناس صلاة القيام في شهر رمضان ان يصلي بهم عشرين ركعة يسلم في كل ركعتين ويراوح ما بين كل أربع ركعات فيرجع ذو الحاجة ويتوضأ الرجل وان يوتر بهم من آخر الليل حين الانصراف."
"zayd_0157","157","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الدعاء في دبر الصلاة (2) وعند انفلاق الصبح:","= حدثني زيد بن علي عن أبيه عن جده عن علي عليهم السلام انه كان يقول حين يسلم من الوتر سبحان ربي الملك القدوس رب الملائكة والروح والعزيز الحكيم ثلاث مرات يرفع بها صوته وإذا انفجر الفجر قال: الحمد لله فالق الاصباح رب الصباح سبحان الله رب الصباح وفالق الاصباح اللهم اغفر لي وارحمني وانت خير ارحم الراحمين."
"zayd_0158","158","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الدعاء بعد ركعتي الفجر:","= حدثني زيد بن علي عن أبيه عن جده عن علي عليهم السلام انه كان لا يصلي الركعتين اللتين قبل صلاة الفجر حتى يعترض الفجر وكان إذا صلاهما قال: استمسكت بعروة الله الوثقى التي لا انفصام لها واعتصمت بحبل الله المتين وأعوذ بالله من شر شياطين الانس والجن أعوذ بالله من شر فسقة العرب والعجم حسبي الله توكلت على الله الجأت ظهري إلى الله طلبت حاجتي من الله لاحول ولا قوة الا بالله اللهم اغفر لي ذنبي فانه لا يغفر الذنوب الا انت."
"zayd_0159","159","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الدعاء بعد صلاة الفجر:","= حدثني زيد بن علي عن أبيه عن جده عن علي (ع م) قال: قال رسول الله صلى الله عليه وآله من قعد في مصلاه الذي صلى فيه الفجر يذكر الله سبحانه يسبحه ويحمده حتى تطلع الشمس كان كالحاج إلى بيت الله وكالمجاهد في سبيل الله عزوجل."
"zayd_0160","160","Musnad al-Imam Zayd ibn Ali","Zaydi","باب الدعاء بعد صلاة الفجر:","= حدثني زيد بن علي عن أبيه عن جده عن علي عليهم السلام انه كان يقول إذا انصرف من الفريضة في الفجر بعد ما يدعو اللهم صل على محمد وآل محمد واجعل اللهم في قلبي نورا وفي بصري نورا وفي سمعي نورا وعلى لساني نورا ومن بين يدي نورا ومن خلفي نورا ومن فوقي نورا ومن تحتي نورا وعن يميني نورا وعن شمالي نورا اللهم اعظم لي النور يوم القيامة واجعل لي نورا أمشي به في الناس ولا تحرمني نوري يوم ألقاك لا اله الا انت."
